ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
57576532,MT,IP-033120172-ZFA-1,STELLANTIS,FIAT GROUP,FCA ITALY SPA,,E3*2007/46*0064*53,312,PXA1A,EP0BL12,FIAT,PANDA,M1,M1,1,1440,1155,111,134,2300,1409,1407,PETROL,M,1242,51,,,,,,,P,2021,,,
57576533,MT,IP-MQB37WZB20901-VSS-1,VW-SAIC,SEAT,SEAT SA,,E9*2007/46*3167*05,KL,BDGEAXO,FD6PFD6DD0014BIML1CBA,SEAT,LEON,M1,M1,1,2060,1745,32,28,2669,1544,1514,PETROL/ELECTRIC,P,1395,110,120,,,,,,P,2021,,,
57576534,MT,IP-MQB27SZA10539-VSS-1,VW-SAIC,SEAT,SEAT SA,,E9*2007/46*3134*27,KJ,XDLAA,FM6SFM6AJ0214BI3A1AAD,SEAT,ARONA,M1,M1,1,1680,1335,109,121,2552,1505,1485,PETROL,M,999,81,,E9  28 29,,1.9,,,P,2021,,,
57576535,MT,IP-BX72201900008-WF0-1,FORD,FORD WERKE GMBH,FORD WERKE GMBH,,E9*2007/46*3165*04,J2K,BZJA12X,5CCPTNAXNCC,FORD,PUMA,M1,M1,1,1760,1389,69,89,2588,1562,1518,PETROL,H,999,114,,,,,,,P,2021,,,
57576536,MT,IP-000530-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*2018*03,F1H,7K32,IHW500LG,BMW,118I,M1,M1,1,1845,1496,126,132,2670,1561,1562,PETROL,M,1499,100,,E24  28 29,,2.1,,,P,2021,,,
57576537,MT,IP-YHYMB6212A-VF3-0,STELLANTIS,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,,E2*2007/46*0405*27,L,C,YHYPR2P000,PEUGEOT,308,M1,M1,1,1840,1443,91,119,2730,1565,1560,DIESEL,M,1499,75,,,,,,,P,2021,,,
57576538,MT,IP-2019_536BBF-YV1-1,,VOLVO,VOLVO CAR CORPORATION,,E9*2007/46*3146*09,X,XZBB,XZBBVF0,VOLVO,XC40,M1,M1,1,2290,1923,41,49,2702,1601,1626,PETROL/ELECTRIC,P,1477,132,159,,,,,,P,2021,,,45
57576539,MT,IP-2019256L1C-YV1-1,,VOLVO,VOLVO CAR CORPORATION,,E4*2007/46*0929*16,L,LFL1,LFL1VC0,VOLVO,XC90,M1G,M1G,1,2790,2307,114,140,2984,1673,1675,PETROL,H,1969,184,,,,,,,P,2021,,,
57576540,MT,IP-BX7220190000-WF0-1,FORD,FORD WERKE GMBH,FORD WERKE GMBH,,E9*2007/46*3165*04,J2K,B7JA12X,5GTPPNAXLAM,FORD,PUMA,M1,M1,1,1810,1429,110,138,2588,1562,1518,PETROL,M,999,91,,E9  28 29,,2.2,,,P,2021,,,
57576541,MT,IP-10A1MDE051A_000-VF1-1,RENAULT-NISSAN-MITSUBISHI,RENAULT,RENAULT SAS,,E2*2007/46*0251*18,AG,0V0Y,MDLEA0800000,RENAULT,ZOE,M1,M1,1,1988,1686,0,0,2588,1503,1502,ELECTRIC,E,,51,176,,,,,,P,2021,,,
57576542,MT,IP-11KNA-2018-0015,KIA,KIA,KIA CORPORATION,,E5*2007/46*1077*02,YB,C5P21,D71BZ1,KIA,STONIC,M1,M1,1,1670,1342,117,140,2580,1537,1544,PETROL,M,998,88,,E5 E5 29,,1,,,P,2021,,,
57576543,MT,IP-050531-NLH-1,HYUNDAI,HYUNDAI,HYUNDAI MOTOR COMPANY,,E5*2007/46*0090*01,AC3,B5P11,M53A11,HYUNDAI,I10,M1,M1,1,1410,1130,104,120,2425,1467,1478,PETROL,M,998,49,,,,,,,P,2021,,,
